Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc,Deal_Status,Deal_Shark
629,Bee Thinking,"beehives in various modern designs . Matt Reed started Bee Thinking and builds hives in Portland, Oregon from Western Red Cedar. Matt pitches the Sharks to go big with Bee Thinking so everyone can have a backyard bee hive.",0,
629,Budsies,a company that creates custom plush toys based on children's drawings ,0,
629,Forus Athletics,workout and athletic shoes ,0,
629,PullyPalz,"a pulley system to keep two pacifiers available to infants in case they lose one . Who hasnâ€™t had to pick up and suck the dirt off (yuck!) the pacifier that junior just spit out, but really wants back in a hurry? Well, now PullyPalz creates peace wherever you go. Junior can spit all he wants and grab that pacifier himself without it touching the ground.",1,LG
628,BeeSweet Lemonade,honey-sweetened lemonade with flaxseed ,1,DJ
628,BrandYourself,software to improve search results for individuals and businesses ,0,
628,iCPooch,"a device that allows two-way video chat between pets and their owners and can dispense treats . Itâ€™s hard to travel when you have a lovable puppy at home, especially when he/she cannot come along for the journey. Now there is a way to communicate and interact with your puppy while being states away. Introducing iCPooch, an innovative way to not only chat with your puppy, but also dispense treats for him/her.",0,
628,The Home T,"a line of clothing and accessories focusing on the customer's home state or land . Have you ever been walking the streets of a large metropolitan area and have people asking you where youâ€™re from (because obviously you arenâ€™t fitting in)? The Home T offers a simple solution to this situation. You can now purchase a t-shirt that has your home state on it, with a simple, yet elegant â€œhome.â€ on the front. Available in crew neck, v-neck, baseball tâ€™s, tank tops, hoodies and more! The company also sends a portion of proceeds to multiple sclerosis research and all products are made right here in the USA!",0,
627,Beneath the Ink,"a service that integrates annotated supplementary information into e-books . Beneath the Ink pitches the Shark Tank and introduces â€˜Binksâ€™ which allow publishers and authors to include extra information within their digital ebooks to give readers access to more information, related titles and even, perhaps â€“ other revenue generating options. Beneath the Ink pitches Shark Tank for a deal. ",0,
627,Melni Connectors,a simpler connector for industrial electrical cables ,1,MC
627,NeatCheeks,"wipes flavored with stevia for cleaning children's faces . NeatCheeks is a â€˜sweet flavored face wipeâ€™ that is clean, tasty, and a safe way to clean baby faces without slathering them in chemical cleaners and the nasty smells of sanitizer. No more fuss wiping your lil faces around the table.",1,BC
